,Mu33,Mu22,Pu,L,Cb,Delta,L1tb,h,b,tf,tw
951,-218997.73,4.914,-2931.995,6,2.276,0,1,84.0486,29.2354,2.1717,1.4732
952,-229954.68,4.931,-4314.304,6,2.27,0,1,84.0486,29.2354,2.1717,1.4732
953,-240924.307,5.486,-6078.368,6,2.266,0,1,90.297,30.353,2.0066,1.524
954,-254051.261,6.253,-4572.13,6,2.266,0,1,90.297,30.353,2.0066,1.524
955,-278274.343,6.175,-3587.878,6,2.266,0,1,97.028,29.9974,2.1082,1.6002
956,-302590.582,5.356,-1515.394,6,2.267,0,1,97.028,29.9974,2.1082,1.6002
957,-321174.33,7.222,-1696.343,6,2.267,0,1,91.4654,30.48,2.5908,1.651
958,-359839.403,9.622,-2075.524,6,2.267,0,1,92.2782,30.6705,2.9972,1.8415
959,-398649.53,23.059,-2376.011,6,2.267,0,1,97.028,44.9834,2.1082,1.8034
960,-437843.17,11.843,-2647.417,6,2.267,0,1,108.9914,29.9974,3.0988,1.8034
961,-475199.906,28.803,-3048.711,6,2.267,0,1,99.0092,40.005,3.0988,1.651
962,-514366.993,16.196,-3373.424,6,2.267,0,1,110.0074,29.9974,3.5941,1.9939
963,-551755.86,48.016,-3821.623,6,2.267,0,1,99.2124,44.9834,3.2004,1.8034
964,-590851.387,20.684,-4123.875,6,2.267,0,1,110.7948,29.9974,4.0005,2.1971
965,-628228.888,61.368,-4600.463,6,2.267,0,1,99.9998,45.085,3.5941,1.905
966,-667827.353,26.288,-5048.44,6,2.267,0,1,111.8108,29.9974,4.4958,2.6035
967,-704991.076,77.3,-5474.191,6,2.267,0,1,100.8126,45.2882,4.0005,2.1082
968,-724784.638,66.544,-5876.157,6,2.267,0,1,102.0064,40.3987,4.5974,2.54
969,-743727.646,68.28,-6033.924,6,2.267,0,1,102.0064,40.3987,4.5974,2.54
970,-762783.066,92.581,-6226.066,6,2.267,0,1,101.6,45.4914,4.3942,2.3114
971,-792248.565,81.735,-6773.14,6,2.267,0,1,102.997,40.6908,5.1054,2.8448
972,-858368.907,109.008,-7648.914,6,2.267,0,1,96.012,42.7482,5.588,3.0988
973,-869078.592,99.332,-7757.965,6,2.267,0,1,104.013,40.9448,5.588,3.0988
974,-936491.625,118.534,-8739.172,6,2.267,0,1,105.0036,41.2496,6.096,3.4036
975,-955499.126,120.938,-8920.315,6,2.267,0,1,105.0036,41.2496,6.096,3.4036
